Designator,Mid X,Mid Y,Rotation,Layer
BT1,158.4,-132.715,0,bottom
C1,135.498,-108.4,0,top
C11,140.2,-100,180,top
C12,140.2,-97,0,top
C13,152.6105,-108.656398,270,top
C14,155.304,-106.172,180,top
C15,133.3,-74.7,180,top
C16,133.3,-69.6125,180,top
C17,140.2,-95.5,0,top
C2,160.64,-108.793898,0,top
C3,161.544,-81.9415,270,top
C4,160.64,-112.493898,0,top
C5,158.9035,-84.582,0,top
C6,148.8,-105,90,top
C7,141.3,-105.1,90,top
C8,139.298,-110.1,90,top
D1,154.5875,-72,180,top
D2,154.6,-70.4,180,top
E1,137.45,-61.8,0,top
J1,131.35,-86.257,90,bottom
L1,132.45,-72.2,90,top
L2,144.6,-105,180,top
L3,140.898,-110.1,90,top
Q1,155.84,-112.493898,0,top
Q2,155.282,-98.4015,90,top
R1,135.498,-111.4,180,top
R12,157.9875,-72,180,top
R13,158,-70.4,180,top
R2,148.55,-81.788,0,top
R3,148.5665,-83.439,0,top
R4,135.4855,-109.9,0,top
R5,140.2,-98.5,180,top
R6,148.55,-80.1,0,top
R7,148.5375,-78.4,0,top
R8,153.082,-98.4015,90,top
R9,154.9635,-95.885,0,top
SC1,142.2908,-127.7,90,top
SC2,133.5786,-127.675,90,top
SC3,151.003,-127.7098,90,top
SC4,159.6644,-127.705,90,top
SW3,146.787,-97.795,180,top
SW4,133.55,-97.8,0,top
U1,158.807,-81.915,180,top
U2,137.725,-84.9,0,top
U3,145.198,-110.9,0,top
U4,155.4425,-108.693898,180,top
